name,alias(es),birthdate,deathdate,id
"Jefferson, Thomas",['United States President (1801-1809)'],1743,1826,0
United States,[],,,1
"Kennedy, John F. (John Fitzgerald)","['Kennedy, Jack', 'Kennedy, John Fitzgerald', 'United States President (1961-1963)']",1917,1963,2
"Lincoln, Abraham","['Lincoln, Abe', 'United States President (1861-1865)']",1809,1865,3
"Henry, Patrick",[],1736,1799,4
"Carroll, Lewis","['Dodgson, Charles Lutwidge']",1832,1898,5
United States. Central Intelligence Agency,"['Agency, United States. Central Intelligence', 'CIA (Central Intelligence Agency (U.S.))', 'Central Intelligence Agency (U.S.)']",,,6
"Melville, Herman","['Melville, Hermann']",1819,1891,7
"Barrie, J. M. (James Matthew)","['Barrie, J.M.', 'Barrie, James Matthew']",1860,1937,8
Church of Jesus Christ of Latter-day Saints,[],,,9
"Smith, Joseph, Jr.","['Smith, Joseph']",1805,1844,10
"Jay, John","['Jay, J. (John)']",1745,1829,11
"Hamilton, Alexander",[],1757,1804,12
"Madison, James",['United States President (1809-1817)'],1751,1836,13
"Longfellow, Henry Wadsworth","['Longfellow, Henry W.']",1807,1882,14
"Morris, Woodrow W.",[],,,15
"Milton, John",[],1608,1674,16
"Townsend, George Fyler","['Townsend, George Tyler']",1814,1900,17
Aesop,['Æsop'],,,18
"Roget, Peter Mark",[],1779,1869,19
"Douglass, Frederick","['Bailey, Frederick Augustus Washington', 'Baly, Frederick Augustus Washington']",1818,1895,20
"Cather, Willa","['Cather, Wilella', 'Cather, Willa Sibert', 'Catherova, Willa', 'Catherová, Willa']",1873,1947,21
"Hardy, Thomas",[],1840,1928,22
United States. Bureau of the Census,[],,,23
Sophocles,['Σοφοκλής'],-496,-406,24
"Storr, Francis","['Storr, F. (Francis)']",1839,1919,25
"Gilman, Charlotte Perkins","['Perkins, Charlotte Anna', 'Stetson, Charlotte Perkins']",1860,1935,26
"Hawthorne, Nathaniel",[],1804,1864,27
"Kehoe, Brendan P.",[],1970,2011,28
"Wells, H. G. (Herbert George)","['Wells, Herbert George']",1866,1946,29
"Raymond, Eric S.",[],1957,,30
"Steele, Guy L.","['Steele, Guy Lewis, Jr.']",1954,,31
"Krol, Ed",[],,,32
"Irving, Washington","['Crayon, Geoffrey']",1783,1859,33
"Stevenson, Robert Louis","['Stevenson, R. L. (Robert Louis)']",1850,1894,34
"Montgomery, L. M. (Lucy Maud)","['MacDonald, Lucy Maud Montgomery', 'Montgomery, Lucy Maud']",1874,1942,35
"Leech, John","['Leech, J. (John)']",1817,1864,36
